lokasi,kamar_tidur,kamar_mandi,luas_bangunan,luas_lahan,keamanan24jam,taman,balcony,AC,harga
tapos,3,2,70.0,68.0,no,no,no,no,1176500000
cipayung,2,1,50.0,69.0,yes,yes,no,no,660000000
beji,2,2,55.0,45.0,yes,yes,no,no,750000000
cipayung,2,1,48.0,78.0,no,yes,no,no,535000000
bojongsari,2,1,36.0,65.0,no,no,no,no,582000000
beji,4,4,130.0,98.0,yes,yes,yes,no,1495000000
pancoran mas,3,3,81.0,58.0,yes,no,no,no,949940000
cilodong,2,1,45.0,125.0,no,no,no,no,625000000
sukmajaya,3,2,55.0,60.0,no,no,no,no,789750000
cilodong,3,3,80.0,80.0,yes,yes,yes,no,925000000
beji,3,2,85.0,133.0,yes,no,no,no,1560000000
cimanggis,3,2,76.0,80.0,yes,yes,yes,yes,890000000
cilodong,3,3,80.0,92.0,no,yes,no,yes,985000000
pancoran mas,3,2,84.0,68.0,no,yes,yes,yes,825000000
cinere,2,1,90.0,100.0,no,no,no,yes,1500000000
cilodong,2,2,60.0,90.0,yes,yes,no,yes,681000000
cilodong,2,1,45.0,80.0,no,no,no,no,690000000
pancoran mas,3,2,60.0,66.0,yes,yes,no,no,896000000
cimanggis,3,2,68.0,78.0,no,no,no,no,799000000
beji,3,2,80.0,60.0,no,no,no,no,1050500000
depok,3,2,100.0,50.0,no,no,no,no,625000000
bojongsari,3,3,136.0,112.0,yes,yes,yes,no,1900000000
cimanggis,2,1,47.0,77.0,no,yes,no,no,699000000
sawangan,3,3,100.0,65.0,yes,yes,yes,no,945000000
pancoran mas,2,1,45.0,70.0,no,yes,no,no,495000000
sukmajaya,2,1,48.0,84.0,yes,yes,no,no,781000000
sukmajaya,2,1,40.0,90.0,no,yes,no,yes,670000000
limo,2,1,45.0,73.0,yes,yes,no,no,654500000
bojongsari,3,2,70.0,94.0,no,no,no,no,769000000
tapos,3,2,60.0,50.0,yes,yes,yes,no,800000000
beji,3,2,56.0,82.0,yes,yes,yes,yes,823000000
cilodong,3,3,80.0,72.0,no,no,no,no,875000000
depok,3,3,75.0,76.0,yes,yes,yes,yes,930000000
tapos,3,2,60.0,56.0,yes,no,yes,no,790000000
sukmajaya,3,2,121.0,60.0,no,no,no,no,775000000
depok,2,1,48.0,60.0,no,no,no,no,520000000
sawangan,3,2,60.0,60.0,no,no,no,no,755000000
cimanggis,3,2,51.0,72.0,yes,yes,yes,no,907250000
cilodong,2,1,38.0,60.0,no,no,no,no,650000000
cilodong,2,1,36.0,90.0,no,no,no,no,810000000
cipayung,2,1,35.0,50.0,no,no,no,no,230000000
pancoran mas,3,3,140.0,113.0,yes,yes,yes,no,1660000000
cilodong,3,3,80.0,72.0,yes,yes,yes,yes,898000000
tapos,3,2,74.0,62.0,no,no,no,yes,890000000
pancoran mas,2,1,45.0,63.0,yes,no,no,no,570000000
cinere,4,3,155.0,84.0,yes,yes,yes,no,1720000000
depok,2,2,90.0,60.0,yes,yes,no,no,999000000
beji,3,2,100.0,95.0,no,no,no,no,1112000000
pancoran mas,3,2,80.0,102.0,no,no,no,yes,420000000
cinere,3,2,56.0,68.0,yes,yes,yes,yes,779000000
cilodong,2,2,60.0,82.0,yes,yes,no,no,685000000
pancoran mas,2,1,45.0,60.0,no,yes,no,yes,525000000
bojongsari,2,1,42.0,74.0,no,no,no,no,655000000
limo,2,1,45.0,73.0,no,yes,no,no,592150000
sawangan,3,2,44.0,50.0,no,yes,no,no,533000000
limo,3,3,100.0,107.0,no,yes,no,yes,1600000000
cilodong,2,2,60.0,70.0,no,yes,no,no,735000000
sawangan,2,1,45.0,83.0,no,no,no,no,510000000
cimanggis,2,2,54.0,72.0,no,no,no,no,853000000
beji,3,3,65.0,96.0,no,yes,no,yes,1050000000
sawangan,3,2,70.0,50.0,yes,yes,no,no,695000000
beji,2,1,36.0,60.0,no,no,no,yes,247000000
cimanggis,2,1,48.0,84.0,no,no,no,no,850000000
pancoran mas,4,3,98.0,96.0,yes,yes,no,no,1399000000
sawangan,3,2,44.0,60.0,no,no,no,yes,494000000
cimanggis,3,2,69.0,60.0,yes,yes,yes,no,791000000
tapos,2,2,135.0,90.0,yes,yes,yes,no,1100000000
cilodong,3,2,66.0,68.0,no,no,no,no,827000000
cimanggis,2,2,65.0,56.0,no,no,no,no,800000000
sukmajaya,2,2,51.0,71.0,yes,yes,yes,yes,886000000
tapos,2,2,42.0,40.0,yes,yes,no,no,400000000
beji,4,4,120.0,98.0,no,yes,no,no,1495000000
pancoran mas,2,2,58.0,50.0,no,yes,no,no,1200000000
cinere,4,3,78.0,77.0,yes,yes,yes,no,929000000
limo,3,3,155.0,84.0,yes,yes,yes,yes,1722000000
cilodong,2,1,38.0,60.0,yes,yes,no,no,650000000
sukmajaya,3,2,61.0,79.0,yes,yes,yes,no,886000000
cilodong,3,3,80.0,78.0,no,no,no,yes,1050000000
sukmajaya,4,2,65.0,60.0,yes,yes,yes,no,842250000
pancoran mas,4,3,110.0,82.0,yes,yes,no,yes,950000000
sukmajaya,2,1,100.0,95.0,no,no,no,no,1100000000
cimanggis,2,1,50.0,72.0,yes,yes,no,no,520000000
beji,3,2,73.0,65.0,yes,yes,yes,yes,950000000
cilodong,2,1,45.0,84.0,no,yes,no,no,803000000
bojongsari,2,1,40.0,84.0,yes,yes,no,yes,659000000
cilodong,2,2,80.0,82.0,no,no,no,no,735000000
cimanggis,3,2,86.0,65.0,yes,no,yes,yes,1050000000
limo,3,3,155.0,84.0,yes,yes,yes,no,1700000000
limo,4,4,150.0,85.0,no,yes,yes,no,1700000000
sawangan,2,1,90.0,108.0,yes,yes,no,no,859000000
pancoran mas,3,2,65.0,90.0,no,yes,no,yes,800000000
pancoran mas,2,1,45.0,57.0,yes,yes,no,no,350000000
cilodong,3,2,60.0,88.0,no,no,no,no,743100000
sawangan,1,1,63.0,126.0,no,no,no,no,1295000000
cinere,2,3,150.0,113.0,no,no,no,no,2600000000
beji,3,3,150.0,92.0,no,no,no,no,1350000000
sawangan,3,2,55.0,60.0,no,no,no,no,645000000
sawangan,2,1,36.0,81.0,yes,yes,no,no,465000000
sukmajaya,2,1,100.0,96.0,no,no,no,no,1100000000
cipayung,2,1,36.0,42.0,yes,no,no,no,150000000
beji,2,1,50.0,63.0,no,no,no,no,599000000
cilodong,3,3,80.0,78.0,no,no,no,no,970000000
bojongsari,2,1,50.0,70.0,yes,yes,yes,yes,675000000
sawangan,3,2,60.0,69.0,no,no,no,no,797000000
pancoran mas,3,2,75.0,70.0,no,yes,no,yes,1000000000
cilodong,2,1,75.0,122.0,no,no,no,no,420000000
depok,3,2,70.0,70.0,no,no,no,no,850000000
sukmajaya,2,2,50.0,92.0,yes,yes,no,yes,735000000
tapos,3,3,80.0,83.0,yes,yes,yes,yes,925000000
sawangan,2,1,40.0,60.0,yes,no,yes,yes,365000000
sawangan,2,1,45.0,60.0,yes,yes,no,yes,400000000
cilodong,3,2,90.0,80.0,yes,yes,no,yes,875000000
tapos,3,3,65.0,120.0,no,no,no,no,900000000
cilodong,3,3,75.0,75.0,yes,yes,yes,yes,890000000
bojongsari,2,2,40.0,60.0,yes,yes,no,no,635000000
cimanggis,3,3,100.0,77.0,no,no,no,no,899000000
beji,3,3,74.0,82.0,no,yes,no,yes,1595000000
cimanggis,3,2,72.0,70.0,yes,yes,no,no,770000000
cilodong,2,2,60.0,72.0,yes,yes,no,yes,735000000
cilodong,3,2,70.0,97.0,yes,yes,yes,no,915000000
cipayung,2,1,50.0,82.0,yes,yes,no,no,660000000
cinere,4,4,130.0,90.0,yes,yes,yes,no,1300000000
pancoran mas,2,1,45.0,66.0,no,yes,no,no,551550000
cilodong,3,2,54.0,70.0,no,no,no,no,658000000
cilodong,2,2,45.0,84.0,yes,yes,no,yes,710000000
beji,2,1,36.0,60.0,no,no,no,no,355000000
beji,3,3,70.0,114.0,no,yes,yes,yes,980000000
cilodong,2,1,60.0,75.0,no,no,no,no,695000000
cimanggis,3,2,75.0,56.0,yes,yes,no,yes,976000000
bojongsari,3,2,73.0,66.0,yes,yes,yes,no,1122000000
cilodong,3,2,120.0,72.0,yes,yes,yes,yes,990000000
sawangan,3,2,70.0,60.0,yes,yes,yes,yes,695000000
cilodong,2,1,45.0,68.0,yes,yes,no,yes,550000000
beji,3,2,65.0,100.0,yes,no,no,no,875000000
pancoran mas,3,3,52.0,85.0,no,yes,no,yes,885000000
cilodong,3,2,100.0,98.0,yes,yes,yes,no,1200000000
cilodong,3,3,70.0,78.0,no,no,no,no,980000000
cilodong,2,1,55.0,80.0,no,no,no,no,600000000
sawangan,2,1,36.0,81.0,no,yes,no,yes,460000000
cinere,2,2,98.0,87.0,yes,yes,no,no,1320000000
bojongsari,2,2,50.0,55.0,yes,yes,yes,no,750000000
tapos,3,2,140.0,120.0,yes,yes,no,no,1020000000
sawangan,2,1,38.0,60.0,no,yes,no,no,285000000
pancoran mas,3,2,124.0,131.0,yes,yes,no,no,1200000000
limo,3,2,66.0,78.0,no,yes,no,yes,600000000
beji,3,3,100.0,72.0,no,no,no,no,1350000000
bojongsari,2,1,38.0,78.0,no,no,no,no,560000000
sawangan,2,1,45.0,64.0,yes,yes,no,no,480000000
sawangan,3,2,44.0,55.0,yes,no,no,yes,476500000
bojongsari,3,3,105.0,96.0,no,no,no,no,1900000000
cipayung,2,1,40.0,64.0,yes,yes,no,yes,466329438
cimanggis,4,3,101.0,91.0,yes,yes,yes,yes,1100000000
sawangan,2,1,45.0,87.0,yes,no,no,no,620000000
depok,3,1,70.0,90.0,no,no,no,no,1280000000
sawangan,2,1,40.0,68.0,no,no,no,no,432000000
sukmajaya,2,1,36.0,72.0,yes,yes,no,no,560000000
sukmajaya,3,2,75.0,105.0,yes,yes,no,yes,2100000000
cimanggis,3,2,63.0,52.0,no,no,no,no,740000000
pancoran mas,3,1,103.0,133.0,yes,yes,yes,no,1680000000
cimanggis,2,1,60.0,60.0,yes,yes,no,no,499000000
sukmajaya,2,2,50.0,40.0,yes,yes,no,no,570000000
cilodong,2,2,4.0,43.0,no,no,yes,no,465100000
cilodong,3,2,60.0,72.0,yes,yes,yes,no,670000000
cinere,2,1,36.0,60.0,no,yes,no,yes,245600000
tapos,2,1,30.0,61.0,no,yes,no,no,356500000
cimanggis,3,2,65.0,72.0,yes,yes,no,no,550000000
cilodong,3,3,80.0,80.0,yes,yes,no,yes,950000000
sawangan,3,2,44.0,57.0,no,no,no,no,487500000
bojongsari,3,3,73.0,113.0,yes,yes,yes,no,1425000000
sawangan,3,2,70.0,58.0,yes,no,no,no,599000000
cimanggis,2,1,36.0,72.0,no,no,no,no,689554000
cilodong,2,1,38.0,79.0,yes,yes,no,no,460000000
cilodong,2,1,28.0,47.0,no,no,no,no,385000000
sawangan,2,1,84.0,36.0,no,yes,no,no,519000000
bojongsari,2,1,36.0,89.0,no,no,no,no,650000000
depok,2,1,36.0,50.0,no,no,no,no,260000000
cimanggis,3,2,70.0,67.0,no,no,no,no,1125490200
sawangan,3,2,66.0,77.0,no,yes,no,yes,800000000
cilodong,2,1,65.0,90.0,yes,yes,no,yes,725000000
sawangan,2,1,36.0,72.0,yes,yes,no,yes,350000000
sawangan,2,1,45.0,72.0,yes,yes,no,no,600000000
cilodong,3,2,54.0,60.0,yes,yes,yes,no,637450000
sawangan,3,3,50.0,70.0,yes,no,no,no,786500000
sawangan,2,1,39.0,74.0,no,no,no,no,469000000
pancoran mas,4,4,100.0,70.0,no,yes,no,no,1540000000
sawangan,2,1,50.0,84.0,no,no,no,no,895000000
cimanggis,3,2,110.0,96.0,yes,yes,yes,yes,1365000000
depok,3,2,90.0,84.0,no,yes,no,no,990000000
cimanggis,2,1,40.0,76.0,yes,yes,no,no,460000000
cinere,4,4,120.0,77.0,no,yes,yes,no,1525000000
bojongsari,2,2,45.0,44.0,yes,yes,yes,no,711000000
tapos,2,1,38.0,70.0,yes,yes,no,yes,399999999
pancoran mas,3,2,70.0,90.0,yes,no,no,no,780000000
depok,2,1,48.0,78.0,yes,yes,no,yes,700000000
sukmajaya,3,2,66.0,66.0,yes,yes,no,yes,887000000
cilodong,2,1,45.0,94.0,no,yes,no,yes,670000000
tapos,2,1,36.0,84.0,yes,yes,no,yes,525000000
depok,3,2,79.0,113.0,yes,yes,yes,no,1700000000
cinere,4,5,130.0,100.0,no,no,no,no,1850000000
depok,2,1,33.0,43.0,no,no,no,no,200000000
cilodong,3,2,55.0,80.0,yes,yes,yes,yes,800000000
sukmajaya,3,3,70.0,80.0,no,yes,yes,yes,997000000
sukmajaya,3,3,85.0,75.0,yes,yes,yes,yes,900000000
cilodong,3,3,80.0,81.0,yes,yes,yes,yes,925000000
cimanggis,3,2,110.0,96.0,yes,yes,yes,no,1365000000
cimanggis,3,2,75.0,83.0,no,no,no,no,910000000
beji,3,2,70.0,60.0,yes,no,yes,no,865000000
pancoran mas,3,2,85.0,133.0,yes,no,no,no,1560000000
cilodong,2,1,60.0,76.0,no,no,no,no,430000000
cinere,3,2,105.0,95.0,yes,yes,no,no,1500000000
cimanggis,3,2,95.0,74.0,yes,no,no,no,1375000000
limo,3,3,140.0,72.0,yes,yes,yes,no,1320000000
bojongsari,3,2,100.0,100.0,no,no,no,no,1250000000
pancoran mas,2,1,45.0,68.0,no,yes,no,yes,690000000
pancoran mas,3,3,90.0,100.0,no,no,no,no,1200000000
depok,2,1,65.0,60.0,no,no,no,no,400000000
depok,3,2,70.0,73.0,no,yes,yes,no,895000000
sawangan,2,1,40.0,60.0,yes,no,no,no,490000000
beji,3,2,100.0,89.0,no,yes,yes,yes,1100000000
pancoran mas,2,1,40.0,70.0,yes,yes,no,yes,265000000
pancoran mas,3,3,120.0,88.0,yes,yes,yes,yes,940000000
cipayung,2,1,32.0,60.0,yes,no,no,no,330000000
bojongsari,2,1,33.0,66.0,yes,no,no,yes,415000000
cimanggis,2,2,82.0,51.0,no,no,yes,yes,900000000
sukmajaya,3,2,85.0,70.0,no,no,yes,yes,775000000
sukmajaya,3,2,66.0,66.0,no,yes,no,no,850000000
sukmajaya,2,2,65.0,84.0,no,no,no,no,660000000
cilodong,3,1,48.0,60.0,no,no,no,no,520000000
bojongsari,3,1,81.0,81.0,yes,no,no,no,900000000
tapos,2,2,87.0,90.0,no,no,no,no,1100000000
limo,3,2,63.0,75.0,no,no,no,no,600000000
cilodong,2,1,36.0,61.0,no,yes,yes,yes,610000000
cilodong,3,2,60.0,50.0,yes,yes,no,no,699000000
sawangan,2,1,40.0,70.0,yes,no,no,no,280000000
sawangan,2,2,40.0,52.0,no,no,no,no,416000000
sawangan,2,1,36.0,67.0,no,no,no,no,220000000
cipayung,2,1,35.0,40.0,no,no,no,no,150000000
pancoran mas,2,1,40.0,60.0,no,yes,no,no,350000000
sawangan,3,2,115.0,66.0,yes,yes,yes,yes,1200000000
pancoran mas,4,2,94.0,72.0,no,yes,no,no,1700000000
beji,3,2,75.0,74.0,no,no,no,no,995000000
cimanggis,2,2,51.0,72.0,yes,yes,yes,no,867250000
tapos,2,1,40.0,68.0,yes,yes,no,yes,660000000
sawangan,2,1,40.0,72.0,yes,yes,no,no,524000000
cilodong,3,2,75.0,60.0,no,no,no,no,750000000
pancoran mas,2,1,45.0,63.0,yes,yes,no,no,570000000
cilodong,3,2,85.0,101.0,no,yes,no,yes,1450000000
cinere,2,2,58.0,50.0,no,yes,no,no,1200000000
tapos,2,2,50.0,42.0,yes,yes,yes,no,400000000
cimanggis,2,1,40.0,60.0,yes,yes,yes,yes,195000000
cilodong,2,2,50.0,80.0,no,no,no,no,650000000
cinere,3,2,87.0,81.0,yes,yes,no,no,1705000000
sawangan,3,2,44.0,50.0,yes,yes,no,yes,537150000
sukmajaya,3,2,65.0,102.0,no,no,no,no,800000000
pancoran mas,3,2,71.0,105.0,yes,yes,no,yes,2100000000
cilodong,2,1,45.0,72.0,no,no,no,no,675000000
cilodong,3,2,75.0,60.0,no,yes,no,yes,765000000
sukmajaya,2,1,45.0,60.0,no,yes,no,yes,585000000
beji,3,2,120.0,115.0,yes,yes,yes,yes,1100000000
sawangan,2,1,36.0,85.0,no,no,no,no,299000000
limo,3,3,85.0,50.0,no,yes,no,yes,865000000
cimanggis,2,1,30.0,81.0,no,no,no,no,524000000
bojongsari,2,1,50.0,71.0,no,no,no,no,519990000
sawangan,2,1,26.0,60.0,no,no,no,no,350000000
sawangan,2,1,38.0,75.0,no,no,no,no,619500000
cilodong,3,2,60.0,75.0,no,no,no,no,650000000
cimanggis,3,2,63.0,66.0,yes,yes,no,no,875000000
sawangan,3,2,50.0,71.0,no,no,no,no,625000000
depok,3,2,100.0,85.0,yes,yes,yes,yes,1100000000
bojongsari,2,2,40.0,84.0,yes,no,no,no,1020000000
cilodong,3,2,70.0,66.0,no,no,no,no,912100000
cipayung,2,1,40.0,66.0,yes,yes,no,no,400000000
sawangan,2,1,38.0,55.0,yes,yes,no,no,330000000
cipayung,2,1,38.0,55.0,yes,yes,no,no,265000000
cinere,2,2,60.0,60.0,no,yes,no,yes,680000000
cimanggis,2,1,45.0,100.0,yes,yes,no,yes,800000000
depok,2,1,45.0,70.0,no,no,no,no,452000000
sawangan,2,1,36.0,77.0,yes,yes,yes,yes,348000000
pancoran mas,3,2,85.0,54.0,no,yes,no,yes,885000000
cinere,3,2,80.0,84.0,yes,yes,no,no,1080000000
depok,2,2,130.0,89.0,yes,no,yes,no,785000000
sukmajaya,2,1,40.0,55.0,no,no,yes,no,275000000
beji,2,2,95.0,100.0,yes,yes,yes,no,850000000
cilodong,3,3,70.0,70.0,yes,yes,yes,yes,890000000
pancoran mas,2,1,95.0,36.0,no,no,no,no,493000000
cilodong,2,1,48.0,68.0,no,no,no,no,600000000
pancoran mas,3,2,70.0,69.0,no,no,no,no,800000000
beji,3,3,90.0,80.0,no,no,no,no,1310000000
cimanggis,3,2,54.0,60.0,no,no,no,no,720710000
limo,3,2,80.0,84.0,yes,yes,no,yes,1080000000
sawangan,3,2,54.0,66.0,yes,no,yes,no,578000000
sawangan,2,1,40.0,60.0,no,no,no,no,230000000
cilodong,2,1,38.0,70.0,no,yes,no,yes,390000000
sukmajaya,3,3,80.0,75.0,no,yes,yes,yes,898000000
limo,4,3,105.0,85.0,no,no,no,no,1150000000
beji,2,2,55.0,80.0,yes,yes,no,no,895000000
bojongsari,3,2,80.0,125.0,no,no,no,no,750000000
beji,2,2,48.0,41.0,no,no,no,no,632000000
pancoran mas,3,2,64.0,84.0,no,no,no,no,995000000
limo,3,3,65.0,96.0,no,yes,no,yes,1000000000
sawangan,2,1,50.0,82.0,yes,yes,no,no,660000000
beji,2,2,98.0,87.0,yes,yes,no,no,1320000000
cipayung,2,1,45.0,60.0,no,no,no,no,485000000
cilodong,2,1,45.0,80.0,yes,yes,no,no,690000000
cipayung,2,1,40.0,60.0,no,yes,no,no,330000000
sukmajaya,3,3,100.0,89.0,no,yes,yes,yes,1100000000
pancoran mas,3,2,65.0,61.0,no,no,no,no,779500000
sawangan,2,1,45.0,73.0,no,yes,no,no,495000000
cilodong,2,1,40.0,42.0,yes,yes,no,no,280000000
sawangan,2,2,40.0,40.0,no,no,no,no,353000000
sawangan,2,1,36.0,60.0,no,yes,no,no,285000000
cimanggis,2,1,48.0,72.0,yes,no,no,no,575000000
sawangan,2,2,40.0,40.0,yes,yes,yes,no,372000000
cilodong,2,1,60.0,112.0,no,no,no,no,890000000
cilodong,3,2,70.0,85.0,no,yes,no,yes,850000000
cimanggis,3,2,69.0,74.0,yes,no,yes,no,959000000
cimanggis,4,2,130.0,105.0,yes,yes,yes,no,1800000000
cinere,3,3,140.0,114.0,no,no,no,no,1850000000
sawangan,2,1,45.0,94.0,yes,yes,no,yes,778500000
sukmajaya,2,1,61.0,40.0,no,no,no,no,610000000
bojongsari,2,1,45.0,60.0,yes,no,no,yes,660000000
bojongsari,3,1,81.0,81.0,no,no,no,no,900000000
beji,3,2,122.0,92.0,no,yes,yes,no,1300000000
cilodong,3,3,120.0,89.0,yes,yes,no,yes,1050000000
sawangan,3,2,70.0,67.0,yes,no,no,no,786000000
sawangan,2,1,40.0,61.0,no,no,no,no,400000000
sawangan,3,2,85.0,112.0,no,no,no,no,935000000
sukmajaya,3,3,80.0,75.0,no,yes,yes,no,875000000
cilodong,3,2,69.0,77.0,yes,yes,yes,yes,955000000
pancoran mas,3,2,72.0,60.0,no,yes,no,yes,780000000
cilodong,3,2,85.0,75.0,no,no,no,no,898000000
cimanggis,3,2,63.0,60.0,yes,yes,yes,no,790000000
beji,3,3,115.0,72.0,no,yes,no,no,1400000000
sukmajaya,2,1,48.0,72.0,no,no,no,no,589000000
pancoran mas,3,2,65.0,75.0,no,yes,no,yes,825000000
cimanggis,3,2,72.0,72.0,no,no,no,no,700000000
cilodong,3,2,55.0,65.0,yes,yes,no,no,668375000
cimanggis,3,2,70.0,50.0,yes,yes,no,no,697000000
cilodong,2,1,45.0,66.0,yes,yes,yes,yes,530000000
cilodong,2,1,50.0,67.0,yes,yes,no,yes,350000000
cipayung,2,1,40.0,72.0,yes,yes,no,yes,477424550
limo,4,3,140.0,72.0,yes,no,no,no,1560000000
sukmajaya,3,3,80.0,70.0,yes,yes,yes,yes,849000000
cimanggis,2,2,60.0,90.0,yes,yes,no,yes,685000000
pancoran mas,2,1,5.0,72.0,no,yes,no,no,675000000
bojongsari,2,1,36.0,66.0,no,yes,no,no,525000000
cipayung,2,1,36.0,60.0,yes,yes,no,no,380400000
sawangan,3,2,60.0,50.0,no,no,no,no,500000000
cilodong,2,2,36.0,36.0,no,no,no,no,373000000
cimanggis,2,2,51.0,72.0,no,no,no,no,800000000
bojongsari,2,1,48.0,60.0,no,no,no,no,430000000
sawangan,2,1,40.0,53.0,yes,yes,no,no,485000000
sawangan,2,1,40.0,50.0,no,no,no,no,155000000
cimanggis,2,1,40.0,63.0,yes,yes,no,no,486000000
cinere,3,2,75.0,91.0,no,yes,no,yes,775000000
bojongsari,2,1,45.0,60.0,yes,yes,yes,yes,594000000
sawangan,4,3,101.0,77.0,no,yes,no,no,800000000
cimanggis,3,1,54.0,60.0,yes,yes,yes,yes,700000000
cinere,2,2,50.0,71.0,yes,yes,no,yes,735000000
tapos,3,2,70.0,70.0,yes,yes,yes,no,1154000000
cilodong,3,2,90.0,80.0,yes,yes,yes,yes,875000000
sawangan,3,1,81.0,81.0,yes,no,no,no,900000000
pancoran mas,3,2,70.0,60.0,no,no,no,yes,750000000
sawangan,2,1,36.0,86.0,yes,yes,no,no,460000000
cimanggis,3,2,66.0,83.0,no,no,no,no,1200000000
pancoran mas,3,3,78.0,101.0,yes,yes,yes,yes,890000000
sawangan,2,1,29.0,72.0,no,no,no,no,260000000
cimanggis,3,2,55.0,67.0,no,no,no,no,896797763
cilodong,3,2,70.0,60.0,yes,yes,yes,yes,750000000
